Cores;N_train;N_test;N_regressor;Total_time;Assemble_time;Solve_time;Predict_time;Error;5
1;20000;5000;100;1249.969299;135.883667;1113.888900;0.196728;0.004916;
1;20000;5000;100;1259.141916;136.951867;1121.993818;0.196229;0.004916;
1;20000;5000;100;1249.468425;136.165939;1113.115074;0.187409;0.004916;
1;20000;5000;100;1252.125700;136.556772;1115.372736;0.196190;0.004916;
1;20000;5000;100;1248.221300;136.349545;1111.675505;0.196248;0.004916;
2;20000;5000;100;632.962862;68.945569;563.915765;0.101527;0.004916;
2;20000;5000;100;632.212079;68.290658;563.824804;0.096617;0.004916;
2;20000;5000;100;639.261894;68.377417;570.743436;0.141040;0.004916;
2;20000;5000;100;635.807146;68.640147;567.028987;0.138012;0.004916;
2;20000;5000;100;636.065449;71.253489;564.712856;0.099103;0.004916;
4;20000;5000;100;320.468800;34.778172;285.621701;0.068926;0.004916;
4;20000;5000;100;322.324664;34.620844;287.635143;0.068677;0.004916;
4;20000;5000;100;319.875129;36.180052;283.646851;0.048226;0.004916;
4;20000;5000;100;317.246243;34.504461;282.695421;0.046361;0.004916;
4;20000;5000;100;318.349564;34.917016;283.383449;0.049098;0.004916;
8;20000;5000;100;162.671878;18.226516;144.411426;0.033935;0.004916;
8;20000;5000;100;163.197905;17.277889;145.868443;0.051573;0.004916;
8;20000;5000;100;162.843435;17.244499;145.564327;0.034609;0.004916;
8;20000;5000;100;162.118240;17.848830;144.234740;0.034670;0.004916;
8;20000;5000;100;162.020739;17.313877;144.671768;0.035094;0.004916;
16;20000;5000;100;83.324177;9.299742;74.006093;0.018342;0.004916;
16;20000;5000;100;82.721459;8.844033;73.865493;0.011933;0.004916;
16;20000;5000;100;82.906225;8.955592;73.932613;0.018018;0.004916;
16;20000;5000;100;83.953898;9.167390;74.767728;0.018779;0.004916;
16;20000;5000;100;83.207923;9.331818;73.857951;0.018153;0.004916;
32;20000;5000;100;42.995518;4.809349;38.176852;0.009316;0.004916;
32;20000;5000;100;43.090423;4.657127;38.423643;0.009651;0.004916;
32;20000;5000;100;42.763198;4.762153;37.994565;0.006478;0.004916;
32;20000;5000;100;42.580832;4.592284;37.977492;0.011054;0.004916;
32;20000;5000;100;42.884000;4.618389;38.258869;0.006741;0.004916;
64;20000;5000;100;24.062468;2.475182;21.580465;0.006820;0.004916;
64;20000;5000;100;25.512106;2.621599;22.883944;0.006562;0.004916;
64;20000;5000;100;24.624472;2.546610;22.071219;0.006642;0.004916;
64;20000;5000;100;25.422484;2.575023;22.839241;0.008220;0.004916;
64;20000;5000;100;24.112063;2.533771;21.571569;0.006722;0.004916;
128;20000;5000;100;18.731103;2.336251;16.388024;0.006827;0.004916;
128;20000;5000;100;19.222300;2.396472;16.819146;0.006680;0.004916;
128;20000;5000;100;18.239206;2.425492;15.807611;0.006099;0.004916;
128;20000;5000;100;18.481097;2.342590;16.132248;0.006254;0.004916;
128;20000;5000;100;19.235955;2.501556;16.727788;0.006609;0.004916;
