Cores;N_train;N_test;N_regressor;Total_time;Assemble_time;Solve_time;Predict_time;Error;5
128;1000;5000;100;0.147796;0.043328;0.100343;0.004125;0.005936;
128;1000;5000;100;0.078536;0.039800;0.037755;0.000981;0.005936;
128;1000;5000;100;0.079242;0.039838;0.038335;0.001068;0.005936;
128;1000;5000;100;0.078005;0.039742;0.037022;0.001240;0.005936;
128;1000;5000;100;0.082297;0.042163;0.038873;0.001260;0.005936;
128;2000;5000;100;0.170411;0.078461;0.090350;0.001599;0.004794;
128;2000;5000;100;0.176665;0.078538;0.096209;0.001917;0.004794;
128;2000;5000;100;0.188852;0.094751;0.092390;0.001711;0.004794;
128;2000;5000;100;0.166342;0.077305;0.087264;0.001772;0.004794;
128;2000;5000;100;0.172167;0.077465;0.093156;0.001546;0.004794;
128;3000;5000;100;0.325669;0.127884;0.195543;0.002240;0.004780;
128;3000;5000;100;0.323898;0.127121;0.194574;0.002202;0.004780;
128;3000;5000;100;0.311436;0.125396;0.184091;0.001949;0.004780;
128;3000;5000;100;0.299158;0.123087;0.174198;0.001872;0.004780;
128;3000;5000;100;0.324477;0.126920;0.195319;0.002237;0.004780;
128;4000;5000;100;0.557275;0.187167;0.367331;0.002775;0.004709;
128;4000;5000;100;0.558467;0.187399;0.368444;0.002623;0.004709;
128;4000;5000;100;0.528375;0.183099;0.342607;0.002668;0.004709;
128;4000;5000;100;0.540698;0.185369;0.352865;0.002462;0.004709;
128;4000;5000;100;0.531994;0.184554;0.345055;0.002384;0.004709;
128;5000;5000;100;0.825993;0.259316;0.561857;0.004818;0.004816;
128;5000;5000;100;0.831425;0.255798;0.572637;0.002988;0.004816;
128;5000;5000;100;0.815043;0.250493;0.561497;0.003052;0.004816;
128;5000;5000;100;0.849659;0.251851;0.594856;0.002951;0.004816;
128;5000;5000;100;0.834623;0.256749;0.575034;0.002838;0.004816;
128;6000;5000;100;1.168637;0.329545;0.834081;0.005010;0.004814;
128;6000;5000;100;1.115737;0.321725;0.790980;0.003032;0.004814;
128;6000;5000;100;1.162349;0.329335;0.827569;0.005445;0.004814;
128;6000;5000;100;1.135041;0.324961;0.807120;0.002959;0.004814;
128;6000;5000;100;1.156281;0.341974;0.809366;0.004940;0.004814;
128;7000;5000;100;1.598816;0.420135;1.173396;0.005285;0.005076;
128;7000;5000;100;1.660305;0.414826;1.241701;0.003777;0.005076;
128;7000;5000;100;1.567749;0.414160;1.149238;0.004351;0.005076;
128;7000;5000;100;1.487507;0.402901;1.081363;0.003242;0.005076;
128;7000;5000;100;1.591512;0.411702;1.174776;0.005033;0.005076;
128;8000;5000;100;1.989070;0.495825;1.487815;0.005425;0.005046;
128;8000;5000;100;2.166177;0.512212;1.647511;0.006454;0.005046;
128;8000;5000;100;2.217280;0.526377;1.684469;0.006434;0.005046;
128;8000;5000;100;2.161490;0.514365;1.640312;0.006812;0.005046;
128;8000;5000;100;2.165640;0.519697;1.640202;0.005740;0.005046;
128;9000;5000;100;2.795041;0.622054;2.165346;0.007640;0.005009;
128;9000;5000;100;2.804421;0.626276;2.171406;0.006733;0.005009;
128;9000;5000;100;2.830602;0.620575;2.203730;0.006296;0.005009;
128;9000;5000;100;2.783069;0.610137;2.166323;0.006605;0.005009;
128;9000;5000;100;2.937290;0.616215;2.313216;0.007857;0.005009;
128;10000;5000;100;3.299661;0.709587;2.586105;0.003968;0.005004;
128;10000;5000;100;3.460877;0.735249;2.720601;0.005025;0.005004;
128;10000;5000;100;3.183948;0.684057;2.494448;0.005442;0.005004;
128;10000;5000;100;3.343020;0.728831;2.608912;0.005277;0.005004;
128;10000;5000;100;3.421626;0.711417;2.704995;0.005212;0.005004;
128;20000;5000;100;19.183444;2.410634;16.765766;0.007041;0.004916;
128;20000;5000;100;19.220979;2.455746;16.758369;0.006863;0.004916;
128;20000;5000;100;17.979591;2.343431;15.629108;0.007049;0.004916;
128;20000;5000;100;18.931346;2.389029;16.535603;0.006713;0.004916;
128;20000;5000;100;18.742807;2.555808;16.180138;0.006859;0.004916;
128;30000;5000;100;56.177433;5.123756;51.042114;0.011561;0.004804;
128;30000;5000;100;55.055475;5.101423;49.944687;0.009364;0.004804;
128;30000;5000;100;54.161360;5.137370;49.014011;0.009977;0.004804;
128;30000;5000;100;52.473136;4.892812;47.571868;0.008454;0.004804;
128;30000;5000;100;55.919999;5.132931;50.777294;0.009766;0.004804;
128;40000;5000;100;120.279340;9.121342;111.144176;0.013821;0.004735;
128;40000;5000;100;121.036628;8.976440;112.047621;0.012565;0.004735;
128;40000;5000;100;119.084620;9.009301;110.060127;0.015184;0.004735;
128;40000;5000;100;115.760286;8.927704;106.819767;0.012813;0.004735;
128;40000;5000;100;118.896077;8.973365;109.907293;0.015418;0.004735;
128;50000;5000;100;202.544206;13.599140;188.929977;0.015087;0.004673;
128;50000;5000;100;216.335076;13.486807;202.834673;0.013593;0.004673;
128;50000;5000;100;225.152198;13.924391;211.211705;0.016095;0.004673;
128;50000;5000;100;218.079617;13.777976;204.283891;0.017747;0.004673;
