Cores;N_train;N_test;N_regressor;Total_time;Assemble_time;Solve_time;Predict_time;Error;5
1;100;1000;100;0.042037;0.038530;0.003403;0.000105;0.029658;
1;100;1000;100;0.042037;0.038530;0.003403;0.000105;0.029658;
1;100;1000;100;0.041842;0.038370;0.003365;0.000108;0.029658;
1;100;1000;100;0.042062;0.038564;0.003392;0.000106;0.029658;
1;100;1000;100;0.040649;0.037188;0.003354;0.000107;0.029658;
1;200;1000;100;0.092804;0.073035;0.019589;0.000179;0.025739;
1;200;1000;100;0.085791;0.075054;0.010568;0.000168;0.025739;
1;200;1000;100;0.083576;0.072647;0.010758;0.000171;0.025739;
1;200;1000;100;0.082893;0.071926;0.010798;0.000169;0.025739;
1;200;1000;100;0.082838;0.071758;0.010913;0.000166;0.025739;
1;300;1000;100;0.136428;0.112726;0.023467;0.000235;0.026556;
1;300;1000;100;0.136076;0.111995;0.023852;0.000230;0.026556;
1;300;1000;100;0.139910;0.116110;0.023569;0.000230;0.026556;
1;300;1000;100;0.140023;0.115868;0.023933;0.000222;0.026556;
1;300;1000;100;0.138091;0.114423;0.023445;0.000223;0.026556;
1;400;1000;100;0.203375;0.160432;0.042649;0.000295;0.026071;
1;400;1000;100;0.203246;0.159479;0.043477;0.000290;0.026071;
1;400;1000;100;0.200197;0.157758;0.042138;0.000300;0.026071;
1;400;1000;100;0.200428;0.157669;0.042467;0.000292;0.026071;
1;400;1000;100;0.201326;0.158829;0.042208;0.000288;0.026071;
1;500;1000;100;0.277467;0.207805;0.069279;0.000383;0.025137;
1;500;1000;100;0.286484;0.216039;0.070063;0.000382;0.025137;
1;500;1000;100;0.281978;0.211519;0.070070;0.000389;0.025137;
1;500;1000;100;0.281051;0.211196;0.069469;0.000386;0.025137;
1;500;1000;100;0.277519;0.208534;0.068606;0.000379;0.025137;
1;600;1000;100;0.372684;0.267234;0.104990;0.000460;0.024891;
1;600;1000;100;0.370727;0.265429;0.104826;0.000472;0.024891;
1;600;1000;100;0.369689;0.266273;0.102947;0.000468;0.024891;
1;600;1000;100;0.365366;0.261986;0.102895;0.000485;0.024891;
1;600;1000;100;0.369807;0.265665;0.103678;0.000464;0.024891;
1;700;1000;100;0.473567;0.326788;0.146228;0.000551;0.024284;
1;700;1000;100;0.466063;0.320602;0.144910;0.000551;0.024284;
1;700;1000;100;0.483087;0.333301;0.149210;0.000576;0.024284;
1;700;1000;100;0.469665;0.324019;0.145085;0.000560;0.024284;
1;700;1000;100;0.470134;0.324608;0.144972;0.000554;0.024284;
1;800;1000;100;0.594908;0.393279;0.200994;0.000634;0.024850;
1;800;1000;100;0.597805;0.397695;0.199474;0.000635;0.024850;
1;800;1000;100;0.595152;0.396568;0.197934;0.000650;0.024850;
1;800;1000;100;0.591679;0.393434;0.197619;0.000627;0.024850;
1;800;1000;100;0.593377;0.394830;0.197921;0.000625;0.024850;
1;900;1000;100;0.735765;0.475379;0.259680;0.000706;0.023795;
1;900;1000;100;0.733860;0.472637;0.260526;0.000697;0.023795;
1;900;1000;100;0.743495;0.483321;0.259465;0.000708;0.023795;
1;900;1000;100;0.747790;0.483957;0.263132;0.000701;0.023795;
1;900;1000;100;0.743316;0.482553;0.260058;0.000704;0.023795;
1;1000;1000;100;0.887030;0.544619;0.341635;0.000775;0.022069;
1;1000;1000;100;0.885955;0.549791;0.335392;0.000771;0.022069;
1;1000;1000;100;0.892026;0.549592;0.341655;0.000778;0.022069;
1;1000;1000;100;0.873506;0.539566;0.333154;0.000786;0.022069;
1;1000;1000;100;0.876015;0.540828;0.334402;0.000784;0.022069;
1;2000;1000;100;3.515955;1.652897;1.859115;0.003939;0.019207;
1;2000;1000;100;3.504195;1.644678;1.855569;0.003947;0.019207;
1;2000;1000;100;3.499221;1.645879;1.849407;0.003933;0.019207;
1;2000;1000;100;3.489224;1.629909;1.855347;0.003966;0.019207;
1;2000;1000;100;3.500609;1.649878;1.846949;0.003779;0.019207;
1;3000;1000;100;8.588808;3.264634;5.317980;0.006193;0.019203;
1;3000;1000;100;8.635704;3.260231;5.369163;0.006308;0.019203;
1;3000;1000;100;8.646883;3.293324;5.347406;0.006151;0.019203;
1;3000;1000;100;8.636459;3.266978;5.363274;0.006205;0.019203;
1;3000;1000;100;8.637491;3.277406;5.354040;0.006043;0.019203;
1;4000;1000;100;16.957159;5.405116;11.541549;0.010488;0.019113;
1;4000;1000;100;16.970880;5.466526;11.496497;0.007853;0.019113;
1;4000;1000;100;17.032036;5.415314;11.608544;0.008175;0.019113;
1;4000;1000;100;16.973226;5.388688;11.576331;0.008202;0.019113;
1;4000;1000;100;17.014751;5.426484;11.580059;0.008205;0.019113;
1;5000;1000;100;29.279253;8.101635;21.167350;0.010264;0.019278;
1;5000;1000;100;29.529212;8.177713;21.341474;0.010022;0.019278;
1;5000;1000;100;29.503049;8.120672;21.372274;0.010101;0.019278;
1;5000;1000;100;29.390474;8.109217;21.271570;0.009684;0.019278;
1;5000;1000;100;29.422881;8.149693;21.263408;0.009775;0.019278;
1;6000;1000;100;46.508432;11.318698;35.177641;0.012089;0.019313;
1;6000;1000;100;46.634426;11.327553;35.294776;0.012095;0.019313;
1;6000;1000;100;46.609716;11.419556;35.178432;0.011725;0.019313;
1;6000;1000;100;46.558807;11.291822;35.255389;0.011593;0.019313;
1;6000;1000;100;46.556755;11.267171;35.277925;0.011657;0.019313;
1;7000;1000;100;69.481547;15.202585;54.265392;0.013567;0.019656;
1;7000;1000;100;69.544829;15.162975;54.368591;0.013258;0.019656;
1;7000;1000;100;69.798914;15.264840;54.520518;0.013550;0.019656;
1;7000;1000;100;69.383498;15.278464;54.091972;0.013060;0.019656;
1;7000;1000;100;69.696303;15.329527;54.353773;0.013000;0.019656;
1;8000;1000;100;99.206395;19.651463;79.540019;0.014910;0.019567;
1;8000;1000;100;98.883531;19.744050;79.124157;0.015319;0.019567;
1;8000;1000;100;98.640867;19.461322;79.164061;0.015482;0.019567;
1;8000;1000;100;98.462249;19.552217;78.894910;0.015119;0.019567;
1;8000;1000;100;98.149966;19.394386;78.740870;0.014708;0.019567;
1;9000;1000;100;134.523565;24.355997;110.150824;0.016742;0.019566;
1;9000;1000;100;134.512185;24.203978;110.290899;0.017306;0.019566;
1;9000;1000;100;135.386945;24.619750;110.750751;0.016442;0.019566;
1;9000;1000;100;134.598156;24.280968;110.300480;0.016706;0.019566;
1;9000;1000;100;134.649250;24.408763;110.223193;0.017291;0.019566;
1;10000;1000;100;178.737614;29.844480;148.874477;0.018654;0.019521;
1;10000;1000;100;179.008948;29.802157;149.188310;0.018479;0.019521;
1;10000;1000;100;179.529950;29.704009;149.806710;0.019226;0.019521;
1;10000;1000;100;180.053101;31.485307;148.548522;0.019267;0.019521;
1;10000;1000;100;180.051905;30.071520;149.961980;0.018399;0.019521;
